case,n,rep,tau,theta1,theta2,error_theta1,error_theta2,selection_val_loss,relative_mse,train_check_loss,validation_check_loss,test_check_loss,epoch_budget,rule,selected_epoch,epochs_trained
1,1000,1,0.5,-0.19372768700122833,0.5932588577270508,-1.1937276870012283,1.5932588577270508,0.6003710031509399,0.04821099610545451,0.7022544540567943,0.6266655646580035,0.6982820616178511,10,terminal,10,10
1,1000,1,0.5,-0.19372768700122833,0.5932588577270508,-1.1937276870012283,1.5932588577270508,0.6003710031509399,0.04821099610545451,0.7022544540567943,0.6266655646580035,0.6982820616178511,10,validation_best,10,10
1,1000,1,0.5,-0.19372768700122833,0.5932588577270508,-1.1937276870012283,1.5932588577270508,0.6003710031509399,0.04821099610545451,0.7022544540567943,0.6266655646580035,0.6982820616178511,10,patience15,10,10
1,1000,1,0.5,0.07403573393821716,0.37734362483024597,-0.9259642660617828,1.377343624830246,0.5446277856826782,0.048705233196624106,0.6456667476380633,0.5670408442765833,0.6482311985732014,25,terminal,25,25
1,1000,1,0.5,0.07403573393821716,0.37734362483024597,-0.9259642660617828,1.377343624830246,0.5446277856826782,0.048705233196624106,0.6456667476380633,0.5670408442765833,0.6482311985732014,25,validation_best,25,25
1,1000,1,0.5,0.07403573393821716,0.37734362483024597,-0.9259642660617828,1.377343624830246,0.5446277856826782,0.048705233196624106,0.6456667476380633,0.5670408442765833,0.6482311985732014,25,patience15,25,25
1,1000,1,0.5,0.4829730689525604,-0.061262018978595734,-0.5170269310474396,0.9387379810214043,0.5290654897689819,0.017625802406784147,0.5764828123644024,0.5480999651638331,0.6181658739480145,50,terminal,50,50
1,1000,1,0.5,0.4213659167289734,0.0012238186318427324,-0.5786340832710266,1.0012238186318427,0.5113627910614014,0.028428740161644112,0.5839580404556891,0.5335025505142773,0.614599245309051,50,validation_best,46,50
1,1000,1,0.5,0.4213659167289734,0.0012238186318427324,-0.5786340832710266,1.0012238186318427,0.5113627910614014,0.028428740161644112,0.5839580404556891,0.5335025505142773,0.614599245309051,50,patience15,46,50
1,1000,1,0.5,0.8191632628440857,-0.5648370981216431,-0.1808367371559143,0.43516290187835693,0.5238353610038757,0.016332517582384277,0.5021645260139666,0.5396627722753101,0.6103603547063653,100,terminal,100,100
1,1000,1,0.5,0.5326901078224182,-0.14275963604450226,-0.4673098921775818,0.8572403639554977,0.5050517916679382,0.02769325316861822,0.5703116659991373,0.5268501580040107,0.603336476684447,100,validation_best,55,100
1,1000,1,0.5,0.5326901078224182,-0.14275963604450226,-0.4673098921775818,0.8572403639554977,0.5050517916679382,0.02769325316861822,0.5703116659991373,0.5268501580040107,0.603336476684447,100,patience15,55,70
1,1000,1,0.5,0.8665657639503479,-0.7015972137451172,-0.1334342360496521,0.2984027862548828,0.5650060176849365,0.02616306232202837,0.4468517733061877,0.5728777660453919,0.6586888004923894,200,terminal,200,200
1,1000,1,0.5,0.5326901078224182,-0.14275963604450226,-0.4673098921775818,0.8572403639554977,0.5050517916679382,0.02769325316861822,0.5703116659991373,0.5268501580040107,0.603336476684447,200,validation_best,55,200
1,1000,1,0.5,0.5326901078224182,-0.14275963604450226,-0.4673098921775818,0.8572403639554977,0.5050517916679382,0.02769325316861822,0.5703116659991373,0.5268501580040107,0.603336476684447,200,patience15,55,70
1,1000,1,0.5,0.8452194333076477,-0.7631479501724243,-0.1547805666923523,0.23685204982757568,0.7286392450332642,0.06524385099132805,0.5050833017189877,0.6987654951470899,0.7799062123797974,500,terminal,500,500
1,1000,1,0.5,0.5326901078224182,-0.14275963604450226,-0.4673098921775818,0.8572403639554977,0.5050517916679382,0.02769325316861822,0.5703116659991373,0.5268501580040107,0.603336476684447,500,validation_best,55,500
1,1000,1,0.5,0.5326901078224182,-0.14275963604450226,-0.4673098921775818,0.8572403639554977,0.5050517916679382,0.02769325316861822,0.5703116659991373,0.5268501580040107,0.603336476684447,500,patience15,55,70
1,1000,1,0.5,0.8570505380630493,-0.8208590745925903,-0.14294946193695068,0.17914092540740967,0.7313854098320007,0.08901148837393695,0.5269326870472946,0.7334558057893176,0.8272939080116566,1000,terminal,1000,1000
1,1000,1,0.5,0.5326901078224182,-0.14275963604450226,-0.4673098921775818,0.8572403639554977,0.5050517916679382,0.02769325316861822,0.5703116659991373,0.5268501580040107,0.603336476684447,1000,validation_best,55,1000
1,1000,1,0.5,0.5326901078224182,-0.14275963604450226,-0.4673098921775818,0.8572403639554977,0.5050517916679382,0.02769325316861822,0.5703116659991373,0.5268501580040107,0.603336476684447,1000,patience15,55,70
1,1000,2,0.5,0.8017109036445618,-0.5049982070922852,-0.19828909635543823,0.49500179290771484,0.6531130075454712,0.011381165946278707,0.5737830146878885,0.6376963067028106,0.6282973823215605,10,terminal,10,10
1,1000,2,0.5,0.7917856574058533,-0.5072567462921143,-0.20821434259414673,0.49274325370788574,0.630408763885498,0.021343749978219487,0.5817528625145763,0.6113566027101185,0.6143376106064095,10,validation_best,9,10
1,1000,2,0.5,0.7917856574058533,-0.5072567462921143,-0.20821434259414673,0.49274325370788574,0.630408763885498,0.021343749978219487,0.5817528625145763,0.6113566027101185,0.6143376106064095,10,patience15,9,10
1,1000,2,0.5,0.8740705251693726,-0.5621817708015442,-0.12592947483062744,0.4378182291984558,0.6403330564498901,0.007430008036307065,0.5277671622324892,0.6217571262646843,0.5901610313613672,25,terminal,25,25
1,1000,2,0.5,0.7917856574058533,-0.5072567462921143,-0.20821434259414673,0.49274325370788574,0.630408763885498,0.021343749978219487,0.5817528625145763,0.6113566027101185,0.6143376106064095,25,validation_best,9,25
1,1000,2,0.5,0.7917856574058533,-0.5072567462921143,-0.20821434259414673,0.49274325370788574,0.630408763885498,0.021343749978219487,0.5817528625145763,0.6113566027101185,0.6143376106064095,25,patience15,9,24
1,1000,2,0.5,0.9626691937446594,-0.6854802966117859,-0.037330806255340576,0.3145197033882141,0.627108097076416,0.0061717292816689685,0.5065528332111817,0.6098265275719905,0.5803950209519008,50,terminal,50,50
1,1000,2,0.5,0.9611647725105286,-0.6840305924415588,-0.038835227489471436,0.31596940755844116,0.614978551864624,0.013865822895507994,0.5245117578523036,0.5943029810469583,0.5741730694225189,50,validation_best,49,50
1,1000,2,0.5,0.7917856574058533,-0.5072567462921143,-0.20821434259414673,0.49274325370788574,0.630408763885498,0.021343749978219487,0.5817528625145763,0.6113566027101185,0.6143376106064095,50,patience15,9,24
1,1000,2,0.5,0.9846138954162598,-0.8043750524520874,-0.015386104583740234,0.1956249475479126,0.62810218334198,0.007349919674185766,0.47051107465337966,0.6092583543390636,0.592108711100225,100,terminal,100,100
1,1000,2,0.5,0.9945748448371887,-0.7618948817253113,-0.005425155162811279,0.23810511827468872,0.6097303628921509,0.008305854125005832,0.49262383661292014,0.5911709754090034,0.5802126912658901,100,validation_best,76,100
1,1000,2,0.5,0.7917856574058533,-0.5072567462921143,-0.20821434259414673,0.49274325370788574,0.630408763885498,0.021343749978219487,0.5817528625145763,0.6113566027101185,0.6143376106064095,100,patience15,9,24
1,1000,2,0.5,0.9062584638595581,-0.9202316403388977,-0.0937415361404419,0.0797683596611023,0.6621212959289551,0.015588018669905942,0.4185879053335488,0.6328643686510063,0.63697500885512,200,terminal,200,200
1,1000,2,0.5,0.9945748448371887,-0.7618948817253113,-0.005425155162811279,0.23810511827468872,0.6097303628921509,0.008305854125005832,0.49262383661292014,0.5911709754090034,0.5802126912658901,200,validation_best,76,200
1,1000,2,0.5,0.7917856574058533,-0.5072567462921143,-0.20821434259414673,0.49274325370788574,0.630408763885498,0.021343749978219487,0.5817528625145763,0.6113566027101185,0.6143376106064095,200,patience15,9,24
1,1000,2,0.5,0.9854438900947571,-1.088091254234314,-0.01455610990524292,-0.08809125423431396,0.6946836709976196,0.02674372376442654,0.4097463585538932,0.6254013214931853,0.6726058324967562,500,terminal,500,500
1,1000,2,0.5,0.9945748448371887,-0.7618948817253113,-0.005425155162811279,0.23810511827468872,0.6097303628921509,0.008305854125005832,0.49262383661292014,0.5911709754090034,0.5802126912658901,500,validation_best,76,500
1,1000,2,0.5,0.7917856574058533,-0.5072567462921143,-0.20821434259414673,0.49274325370788574,0.630408763885498,0.021343749978219487,0.5817528625145763,0.6113566027101185,0.6143376106064095,500,patience15,9,24
